Year,Month,GT8134017,GT8134022,GT8134027,GT8134028,GT8153030,GT8153031,GT8172035,GT8172037
1982,Jan,8.31,6.13,10.93,2.92,4.83,4.64,3.63,5.12
,Feb,8.83,6.36,11.27,3.05,6.46,6.72,3.89,5.52
,Mar,9.19,6.6,11.49,3.18,7.02,6.61,4.13,5.91
,Apr,9.26,6.72,11.29,3.15,8.1,4.91,4.43,6.24
,May,9.12,6.77,11.21,3.2,7.42,6.14,4.67,6.44
,Jun,8.27,6.89,9.27,2.45,5.79,5.33,4.47,6.22
,Jul,6.84,6.59,7.17,2,4.91,4.45,3.93,5.03
,Aug,4.36,5.01,3.52,1.09,3.89,3.63,3.42,3.2
,Sep,2.37,3.55,2.32,1.06,3.55,2.99,3.1,2.07
,Oct,3.78,4.38,6.22,4.29,4.23,3.77,3.72,3.95
,Nov,5.4,5.18,7.99,7.11,4.59,3.98,3.76,4.98
,Dec,6.7,5.61,8.99,8.52,4.65,4.02,4.27,5.61
1983,Jan,7.93,5.91,10.14,9.22,6.04,5.01,4.5,6.32
,Feb,8.43,6.16,10.57,9.93,7.93,6.82,4.9,6.85
,Mar,8.92,6.38,11.05,10.35,8.94,6.98,5.55,7.44
,Apr,9.2,6.6,10.89,10.4,9.47,7.06,6.08,7.79
,May,8.89,6.67,10.45,9.34,7.49,7.15,6.06,7.75
,Jun,8.63,7.33,10.07,9.07,6.3,6.1,6.06,7.62
,Jul,6.63,6.28,7.47,6.39,6.05,5.6,5.71,6.1
,Aug,4.63,5.09,4.12,4,4.74,4.53,4.64,4.27
,Sep,2.95,3.8,2.84,1.9,3.64,3.54,5.17,2.64
,Oct,2.1,2.44,3.78,2.66,2.58,2.61,2.8,2.52
,Nov,3.79,4.58,6.9,5.71,2.83,2.77,3.06,3.94
,Dec,5.1,5.58,8.4,7.01,3.37,3.2,3.57,5.02
1984,Jan,6.74,6.16,9.32,8.21,3.87,3.66,3.33,5.78
,Feb,7.81,6.51,10.02,9.06,5,4.65,4.08,6.52
,Mar,8.31,6.74,10.42,9.7,6.69,6.86,4.48,7.04
,Apr,8.78,6.98,10.79,10.09,7.77,7.43,5.31,7.69
